STN_NAM_DE,Latitude,Longitude
ESPLANADE MRT STATION,1.293657725,103.8550812
PAYA LEBAR MRT STATION,1.317095299,103.8923848
DHOBY GHAUT MRT STATION,1.298650438,103.8461561
DAKOTA MRT STATION,1.308547984,103.8890647
LAVENDER MRT STATION,1.307377817,103.8627676
RENJONG LRT STATION,1.38670059,103.8906213
DOVER MRT STATION,1.311405293,103.7786378
HOUGANG MRT STATION,1.371292266,103.8923805
PHOENIX LRT STATION,1.378615451,103.7579956
ALJUNIED MRT STATION,1.316432612,103.882906
COVE LRT STATION,1.399281988,103.9059619
PASIR RIS MRT STATION,1.37300805,103.9492651
ADMIRALTY MRT STATION,1.440588562,103.8009905
KEMBANGAN MRT STATION,1.321038134,103.9129479
PUNGGOL POINT LRT STATION,1.41684852,103.9066508
MARSILING MRT STATION,1.432521149,103.7740746
COMPASSVALE LRT STATION,1.394493045,103.9004925
KHATIB MRT STATION,1.41738337,103.8329799
LAYAR LRT STATION,1.392079837,103.8800296
TAMPINES WEST MRT STATION,1.345515306,103.938437
TAMPINES MRT STATION,1.345515306,103.938437
TAMPINES EAST MRT STATION,1.356191483,103.9546345
TAI SENG MRT STATION,1.335020778,103.8881945
SUMANG LRT STATION,1.408452419,103.8985585
STEVENS MRT STATION,1.320065558,103.8260244
STADIUM MRT STATION,1.302812468,103.8753377
SIXTH AVENUE MRT STATION,1.330960581,103.7969693
SOUTH VIEW LRT STATION,1.380298287,103.7452918
SOO TECK LRT STATION,1.405323319,103.8972905
SOMERSET MRT STATION,1.300264167,103.8390858
SIMEI MRT STATION,1.343197079,103.9533772
SERANGOON MRT STATION,1.350633615,103.8727717
SERANGOON MRT STATION,1.350633615,103.8727717
SENGKANG MRT STATION,1.391694626,103.8954847
BRADDELL MRT STATION,1.340469001,103.8467991
NOVENA MRT STATION,1.320440791,103.8438256
FARRER PARK MRT STATION,1.3131403,103.8547547
BEDOK MRT STATION,1.320401487,103.9571838
REDHILL MRT STATION,1.289634534,103.816741
CHANGI AIRPORT MRT STATION,1.357478974,103.9878836
CORAL EDGE LRT STATION,1.393909229,103.9125808
CLEMENTI MRT STATION,1.315116253,103.7651915
BUKIT BATOK MRT STATION,1.348710811,103.7493345
OASIS LRT STATION,1.40228668,103.9127274
NIBONG LRT STATION,1.411854477,103.9003395
MERIDIAN LRT STATION,1.39691205,103.9089502
BUKIT GOMBAK MRT STATION,1.358712162,103.7518838
EUNOS MRT STATION,1.319783549,103.9032258
CHINESE GARDEN MRT STATION,1.342244948,103.7327666
KADALOOR LRT STATION,1.399509106,103.916575
CHENG LIM LRT STATION,1.396277633,103.8937972
SAM KEE LRT STATION,1.409612685,103.9048316
KRANJI MRT STATION,1.425086981,103.7621375
ANG MO KIO MRT STATION,1.369428557,103.8494552
RIVIERA LRT STATION,1.394519785,103.9161694
BANGKIT LRT STATION,1.38002223,103.7726474
PASIR PANJANG MRT STATION,1.276213522,103.7913503
HOLLAND VILLAGE MRT STATION,1.312264226,103.7964704
LABRADOR PARK MRT STATION,1.272368386,103.8034162
BOTANIC GARDENS MRT STATION,1.322113736,103.8149845
ONE-NORTH MRT STATION,1.299735994,103.7874721
KENT RIDGE MRT STATION,1.293563905,103.7845694
HAW PAR VILLA MRT STATION,1.282567769,103.7817884
MARINA BAY MRT STATION,1.276427355,103.8545978
KING ALBERT PARK MRT STATION,1.335893496,103.7832359
LITTLE INDIA MRT STATION,1.307288824,103.8499224
ROCHOR MRT STATION,1.303852185,103.8527694
SENJA LRT STATION,1.382725471,103.7623443
MOUNTBATTEN MRT STATION,1.306201905,103.8825281
CHOA CHU KANG MRT STATION,1.385363165,103.7443708
BOON KENG MRT STATION,1.319596792,103.8617507
BARTLEY MRT STATION,1.342501178,103.8801779
SEGAR LRT STATION,1.387785087,103.7695997
HILLVIEW MRT STATION,1.362344868,103.7674183
BEAUTY WORLD MRT STATION,1.34090149,103.7757467
BUKIT PANJANG MRT STATION,1.379561212,103.7611889
CASHEW MRT STATION,1.369815449,103.7644392
JOO KOON MRT STATION,1.327686061,103.6783455
YEW TEE MRT STATION,1.397475942,103.7474182
YISHUN MRT STATION,1.429443085,103.835005
YIO CHU KANG MRT STATION,1.3816826,103.8449911
WOODLEIGH MRT STATION,1.339190045,103.8708183
WOODLANDS MRT STATION,1.436057617,103.7879388
UPPER CHANGI MRT STATION,1.341739774,103.9614728
TELOK AYER MRT STATION,1.282068948,103.8486488
TONGKANG LRT STATION,1.389347947,103.8858442
UBI MRT STATION,1.32997426,103.8992267
TOA PAYOH MRT STATION,1.332596728,103.8475773
TIONG BAHRU MRT STATION,1.286124865,103.8270759
THANGGAM LRT STATION,1.397318156,103.8756352
PROMENADE MRT STATION,1.293997986,103.86035
BRAS BASAH MRT STATION,1.296857344,103.8508366
NICOLL HIGHWAY MRT STATION,1.299766847,103.863637
POTONG PASIR MRT STATION,1.331378085,103.8693635
LAKESIDE MRT STATION,1.344259115,103.7209491
SAMUDERA LRT STATION,1.415901722,103.9021563
RANGGUNG LRT STATION,1.384233559,103.8971947
SEMBAWANG MRT STATION,1.449050822,103.8200461
PUNGGOL LRT STATION,1.405194701,103.9024119
KANGKAR LRT STATION,1.383959117,103.9022254
PAYA LEBAR MRT STATION,1.317095299,103.8923848
PIONEER MRT STATION,1.337587011,103.6973216
BUGIS MRT STATION,1.300465085,103.8557067
NEWTON MRT STATION,1.312318922,103.8379846
BUONA VISTA MRT STATION,1.307223708,103.7902535
OUTRAM PARK MRT STATION,1.279739707,103.8395135
MARINA BAY MRT STATION,1.276427355,103.8545978
DHOBY GHAUT MRT STATION,1.298650438,103.8461561
CHINATOWN MRT STATION,1.284223919,103.8451438
EXPO MRT STATION,1.335382526,103.9623747
RAFFLES PLACE MRT STATION,1.283933262,103.8514631
TUAS CRESCENT MRT STATION,1.321026956,103.6490782
TUAS LINK MRT STATION,1.340882425,103.6369914
TUAS WEST ROAD MRT STATION,1.329985047,103.6396166
LITTLE INDIA MRT STATION,1.307288824,103.8499224
BOTANIC GARDENS MRT STATION,1.322113736,103.8149845
PROMENADE MRT STATION,1.293997986,103.86035
CITY HALL MRT STATION,1.292989907,103.8525426
OUTRAM PARK MRT STATION,1.279739707,103.8395135
BISHAN MRT STATION,1.351315801,103.8491403
EXPO MRT STATION,1.335382526,103.9623747
FERNVALE LRT STATION,1.391885892,103.8763086
PUNGGOL MRT STATION,1.414927334,103.9101664
BUANGKOK MRT STATION,1.38287002,103.8931226
BAKAU LRT STATION,1.387994311,103.9054153
FARMWAY LRT STATION,1.397170196,103.8893048
COMMONWEALTH MRT STATION,1.302501999,103.7982285
KUPANG LRT STATION,1.39821283,103.8812562
DAMAI LRT STATION,1.405234836,103.9086035
QUEENSTOWN MRT STATION,1.294550852,103.8060772
KALLANG MRT STATION,1.31148891,103.8713865
RUMBIA LRT STATION,1.391468495,103.9059736
PETIR LRT STATION,1.377772043,103.7666458
BISHAN MRT STATION,1.351315801,103.8491403
BOON LAY MRT STATION,1.338610339,103.7060849
KEAT HONG LRT STATION,1.378603251,103.7490557
JELAPANG LRT STATION,1.38673927,103.7645341
CHOA CHU KANG LRT STATION,1.384755411,103.7445377
SENGKANG LRT STATION,1.391609364,103.8954426
HARBOURFRONT MRT STATION,1.265389384,103.8215302
PENDING LRT STATION,1.376135743,103.7712612
CLARKE QUAY MRT STATION,1.288710232,103.8466109
BUKIT PANJANG LRT STATION,1.377926946,103.7631029
FAJAR LRT STATION,1.384573177,103.7708872
KOVAN MRT STATION,1.360179171,103.8850649
LORONG CHUAN MRT STATION,1.351531286,103.8648122
MARYMOUNT MRT STATION,1.348707263,103.8394231
HARBOURFRONT MRT STATION,1.265389384,103.8215302
BUONA VISTA MRT STATION,1.307223708,103.7902535
CALDECOTT MRT STATION,1.337245613,103.8401618
BUGIS MRT STATION,1.300465085,103.8557067
NEWTON MRT STATION,1.312318922,103.8379846
CHINATOWN MRT STATION,1.284223919,103.8451438
DOWNTOWN MRT STATION,1.279446382,103.8528408
GEYLANG BAHRU MRT STATION,1.321301102,103.8716226
BENDEMEER MRT STATION,1.313672528,103.8629776
BENCOOLEN MRT STATION,1.298918434,103.8503538
FORT CANNING MRT STATION,1.292481948,103.8443314
KAKI BUKIT MRT STATION,1.33496736,103.9084593
TAMPINES MRT STATION,1.345515306,103.938437
JALAN BESAR MRT STATION,1.305171388,103.8552957
MATTAR MRT STATION,1.326876715,103.8832475
MACPHERSON MRT STATION,1.326150245,103.8892986
BAYFRONT MRT STATION,1.281873789,103.8590798
DHOBY GHAUT MRT STATION,1.298650438,103.8461561
FARRER ROAD MRT STATION,1.317439152,103.8073792
JURONG EAST MRT STATION,1.33315262,103.7422865
BEDOK NORTH MRT STATION,1.334742117,103.9179783
BEDOK RESERVOIR MRT STATION,1.33660783,103.9322346
ORCHARD MRT STATION,1.302422248,103.8238685
BUKIT BROWN MRT STATION,1.333728883,103.8306895
LENTOR MRT STATION,1.38550658,103.8357438
BRIGHT HILL MRT STATION,1.363846766,103.8338992
SPRINGLEAF MRT STATION,1.397581061,103.8178569
MARINA SOUTH PIER MRT STATION,1.271027036,103.8624475
MACPHERSON MRT STATION,1.326150245,103.8892986
